"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER";"PACKAGE";"PARAMETER";"PARTNUMBER";"VALUE";
"1";"0R05/1%";"ERJ8CWFR050V";"RESC3216X70N";"R2";"SMD Current Sense Resistor, 0.05/1%, 1 W, 1206 [3216], Panasonic";"Panasonic";"1206";"1W";"ERJ8CWFR050V";"0R05/1%";
"1";"1.5M/1%";"MCPWR12FTEA1504";"RESC6331X65N";"R6";"SMT Resistor, 1.5M, 1%, 1.5W, 2512 [6432], MULTICOMP PRO";"MULTICOMP PRO";"2512";"1.5W";"MCPWR12FTEA1504";"1.5M/1%";
"4";"100k/1%";"CRCW0603100KFKEA";"RESC1608X50N";"R8, R14, R17, R18";"SMT Resistor, 100k/1%, 100mW, 0603, VISHAY";"VISHAY";"0603";"100mW";"CRCW0603100KFKEA";"100k/1%";
"6";"100n/50V";"C0603C104M5RACTU";"CAPC1608X80N";"C5, C15, C17, C18, C20, C22";"SMT Capacitor, 100n/50V, X7R, 10%, 0603, KEMET";"KEMET";"0603";"X7R, 20%";"C0603C104M5RACTU";"100n/50V";
"4";"10k/1%";"CRCW060310K0FKEA";"RESC1608X50N";"R3, R4, R7, R15";"SMT Resistor, 10k/1%, 100mW, 0603, VISHAY";"VISHAY";"0603";"100mW";"CRCW060310K0FKEA";"10k/1%";
"4";"10k/1%";"CRCW121010K0FKEA";"RESC3225X60N";"R10, R11, R12, R13";"SMT Resistor, 10k/1%, 500mW, 1210, VISHAY";"VISHAY";"1210";"500mW";"CRCW121010K0FKEA";"10k/1%";
"7";"10n/50V";"C0603C103K5RACTU";"CAPC1608X80N";"C1, C2, C3, C4, C7, C19, C21";"SMT Capacitor, 10n/50V, X7R, 10%, 0603, KEMET";"KEMET";"0603";"X7R, 10%";"C0603C103K5RACTU";"10n/50V";
"1";"10u/25V";"C1206C106K3PACTU";"CAPC3216X170N";"C16";"SMT Capacitor, 10u/25V, X5R, ±10%, 1206, KEMET";"KEMET";"1206";"X5R";"C1206C106K3PACTU";"10u/25V";
"1";"16 MHz";"ABM8G-16.000MHZ-18-D2Y-T";"OSCCC320X250X100N";"Y1";"SMT Crystal, 16 MHz, SMD, 3.2mm x 2.5mm, 30 ppm, 18 pF, 20 ppm";"ABRACON";"SMD-4 3.2x2.5";"±20ppm, 18pF";"ABM8G-16.000MHZ-18-D2Y-T";"16 MHz";
"2";"1M/1%";"CRCW06031M00FKEA";"RESC1608X50N";"R1, R5";"SMT Resistor, 1M/1%, 100mW, 0603, VISHAY";"VISHAY";"0603";"100mW";"CRCW06031M00FKEA";"1M/1%";
"1";"1u/25V";"CL10A105KA8NNNC";"CAPC1608X80N";"C8";"SMT Capacitor, 1u/25V, X7R, 10%, 0603, SAMSUNG ELECTRO-MECHANICS";"SAMSUNG ELECTRO-MECHANICS";"0603";"X7R, 10%";"CL10A105KA8NNNC";"1u/25V";
"2";"20p/50V";"C0603C200J1GACTU";"CAPC1608X80N";"C11, C12";"SMT Capacitor, 20p/50V, C0G/NP0, ±5%, 0603, KEMET";"KEMET";"0603";"C0G/NP0, ±5%";"C0603C200J1GACTU";"20p/50V";
"2";"30p/50V";"C0603C300J5GACTU";"CAPC1608X80N";"C9, C10";"SMT Capacitor, 30p/50V, C0G/NP0, ±5%, 0603, KEMET";"KEMET";"0603";"C0G/NP0, ±5%";"C0603C300J5GACTU";"30p/50V";
"1";"32.768 kHz";"ABS07AIG-32.768KHZ-1-T";"OSCCC320X150X90N";"Y2";"SMT Crystal, 32.768 kHz, SMD, 3.2mm x 1.5mm, 12.5 pF, 10 ppm";"ABRACON";"SMD 3.2x1.5";"±10 ppm, 12.5 pF";"ABS07AIG-32.768KHZ-1-T";"32.768 kHz";
"2";"3k3/1%";"MCWR06X3301FTL";"RESC1608X50N";"R19, R20";"SMT Resistor, 3k3/1%, 100mW, 0603, MULTICOMP PRO";"MULTICOMP PRO";"0603";"100mW";"MCWR06X3301FTL";"3k3/1%";
